index,time_s,out_v,code
68,8.098500000000e-06,6.231450000000e-01,709
69,8.198500000000e-06,2.605960000000e+00,2965
70,8.298510000000e-06,1.422070000000e+00,1618
71,8.398500000000e-06,1.720900000000e+00,1958
72,8.498510000000e-06,2.329100000000e+00,2650
73,8.598500000000e-06,8.586910000000e-01,977
74,8.698510000000e-06,3.085840000000e+00,3511
75,8.798500000000e-06,2.636720000000e-01,300
76,8.898500000000e-06,3.475200000000e+00,3954
77,8.998500000000e-06,1.063480000000e-01,121
78,9.098500000000e-06,3.389060000000e+00,3856
79,9.198500000000e-06,4.306640000000e-01,490
80,9.298500000000e-06,2.851170000000e+00,3244
81,9.398510000000e-06,1.144340000000e+00,1302
82,9.498500000000e-06,2.012700000000e+00,2290
83,9.598510000000e-06,2.045210000000e+00,2327
84,9.698500000000e-06,1.114450000000e+00,1268
85,9.798500000000e-06,2.875780000000e+00,3272
86,9.898500000000e-06,4.113280000000e-01,468
87,9.998500000000e-06,3.400490000000e+00,3869
88,1.009850000000e-05,1.037110000000e-01,118
89,1.019850000000e-05,3.469920000000e+00,3948
90,1.029850000000e-05,2.777340000000e-01,316
91,1.039850000000e-05,3.063870000000e+00,3486
92,1.049850000000e-05,8.850590000000e-01,1007
93,1.059850000000e-05,2.298340000000e+00,2615
94,1.069850000000e-05,1.753420000000e+00,1995
95,1.079850000000e-05,1.391310000000e+00,1583
96,1.089850000000e-05,2.634960000000e+00,2998
97,1.099850000000e-05,6.002930000000e-01,683
98,1.109850000000e-05,3.278320000000e+00,3730
99,1.119850000000e-05,1.502930000000e-01,171
100,1.129850000000e-05,3.500680000000e+00,3983
101,1.139850000000e-05,1.705080000000e-01,194
102,1.149850000000e-05,3.240530000000e+00,3687
103,1.159850000000e-05,6.539060000000e-01,744
104,1.169850000000e-05,2.569040000000e+00,2923
105,1.179850000000e-05,1.463380000000e+00,1665
106,1.189850000000e-05,1.679590000000e+00,1911
107,1.199850000000e-05,2.368650000000e+00,2695
108,1.209850000000e-05,8.235350000000e-01,937
109,1.219850000000e-05,3.112210000000e+00,3541
110,1.229850000000e-05,2.460940000000e-01,280
111,1.239850000000e-05,3.482230000000e+00,3962
112,1.249850000000e-05,1.107420000000e-01,126
113,1.259850000000e-05,3.374120000000e+00,3839
114,1.269850000000e-05,4.552730000000e-01,518
115,1.279850000000e-05,2.817770000000e+00,3206
116,1.289850000000e-05,1.183010000000e+00,1346
117,1.299850000000e-05,1.971390000000e+00,2243
118,1.309850000000e-05,2.086520000000e+00,2374
119,1.319850000000e-05,1.076660000000e+00,1225
120,1.329850000000e-05,2.908300000000e+00,3309
121,1.339850000000e-05,3.875980000000e-01,441
122,1.349850000000e-05,3.413670000000e+00,3884
123,1.359850000000e-05,1.010740000000e-01,115
124,1.369850000000e-05,3.461130000000e+00,3938
125,1.379850000000e-05,2.970700000000e-01,338
126,1.389850000000e-05,3.035740000000e+00,3454
127,1.399850000000e-05,9.210940000000e-01,1048
128,1.409850000000e-05,2.258790000000e+00,2570
129,1.419850000000e-05,1.794730000000e+00,2042
130,1.429850000000e-05,1.350880000000e+00,1537
131,1.439850000000e-05,2.671000000000e+00,3039
132,1.449850000000e-05,5.704100000000e-01,649
133,1.459850000000e-05,3.298540000000e+00,3753
134,1.469850000000e-05,1.406250000000e-01,160
135,1.479850000000e-05,3.499800000000e+00,3982
136,1.489850000000e-05,1.828130000000e-01,208
137,1.499850000000e-05,3.217680000000e+00,3661
138,1.509850000000e-05,6.846680000000e-01,779
139,1.519850000000e-05,2.532130000000e+00,2881
140,1.529850000000e-05,1.504690000000e+00,1712
141,1.539850000000e-05,1.637400000000e+00,1863
142,1.549850000000e-05,2.408200000000e+00,2740
143,1.559850000000e-05,7.901370000000e-01,899
144,1.569850000000e-05,3.138570000000e+00,3571
145,1.579850000000e-05,2.293950000000e-01,261
146,1.589850000000e-05,3.488380000000e+00,3969
147,1.599850000000e-05,1.160160000000e-01,132
148,1.609850000000e-05,3.357420000000e+00,3820
149,1.619850000000e-05,4.816410000000e-01,548
150,1.629850000000e-05,2.783500000000e+00,3167
151,1.639850000000e-05,1.222560000000e+00,1391
152,1.649850000000e-05,1.930080000000e+00,2196
153,1.659850000000e-05,2.127830000000e+00,2421
154,1.669850000000e-05,1.038870000000e+00,1182
155,1.679850000000e-05,2.939060000000e+00,3344
156,1.689850000000e-05,3.647460000000e-01,415
157,1.699850000000e-05,3.426860000000e+00,3899
158,1.709850000000e-05,9.931640000000e-02,113
159,1.719850000000e-05,3.451460000000e+00,3927
160,1.729850000000e-05,3.172850000000e-01,361
161,1.739850000000e-05,3.006740000000e+00,3421
162,1.749850000000e-05,9.571290000000e-01,1089
163,1.759850000000e-05,2.218360000000e+00,2524
164,1.769850000000e-05,1.836910000000e+00,2090
165,1.779850000000e-05,1.310450000000e+00,1491
166,1.789850000000e-05,2.706150000000e+00,3079
167,1.799850000000e-05,5.422850000000e-01,617
168,1.809850000000e-05,3.317870000000e+00,3775
169,1.819850000000e-05,1.318360000000e-01,150
170,1.829850000000e-05,3.497170000000e+00,3979
171,1.839850000000e-05,1.959960000000e-01,223
172,1.849850000000e-05,3.193950000000e+00,3634
173,1.859850000000e-05,7.163090000000e-01,815
174,1.869850000000e-05,2.493460000000e+00,2837
175,1.879850000000e-05,1.545120000000e+00,1758
176,1.889850000000e-05,1.596090000000e+00,1816
177,1.899850000000e-05,2.446870000000e+00,2784
178,1.909850000000e-05,7.567380000000e-01,861
179,1.919850000000e-05,3.164060000000e+00,3600
180,1.929850000000e-05,2.144530000000e-01,244
181,1.939850000000e-05,3.492770000000e+00,3974
182,1.949850000000e-05,1.230470000000e-01,140
183,1.959850000000e-05,3.339840000000e+00,3800
184,1.969850000000e-05,5.080080000000e-01,578
185,1.979850000000e-05,2.749220000000e+00,3128
186,1.989850000000e-05,1.262110000000e+00,1436
187,1.999850000000e-05,1.888770000000e+00,2149
188,2.009850000000e-05,2.168260000000e+00,2467
189,2.019850000000e-05,1.001950000000e+00,1140
190,2.029850000000e-05,2.969820000000e+00,3379
191,2.039850000000e-05,3.427730000000e-01,390
192,2.049850000000e-05,3.438280000000e+00,3912
193,2.059850000000e-05,9.843750000000e-02,112
194,2.069850000000e-05,3.440920000000e+00,3915
195,2.079850000000e-05,3.383790000000e-01,385
196,2.089850000000e-05,2.976860000000e+00,3387
197,2.099850000000e-05,9.940430000000e-01,1131
198,2.109850000000e-05,2.177930000000e+00,2478
199,2.119850000000e-05,1.879100000000e+00,2138
200,2.129850000000e-05,1.270900000000e+00,1446
201,2.139850000000e-05,2.741310000000e+00,3119
202,2.149850000000e-05,5.141600000000e-01,585
203,2.159850000000e-05,3.336330000000e+00,3796
204,2.169850000000e-05,1.248050000000e-01,142
205,2.179850000000e-05,3.493650000000e+00,3975
206,2.189850000000e-05,2.109380000000e-01,240
207,2.199850000000e-05,3.169340000000e+00,3606
208,2.209850000000e-05,7.488280000000e-01,852
209,2.219850000000e-05,2.455660000000e+00,2794
210,2.229850000000e-05,1.586430000000e+00,1805
211,2.239850000000e-05,1.554790000000e+00,1769
212,2.249850000000e-05,2.485550000000e+00,2828
213,2.259850000000e-05,7.242190000000e-01,824
214,2.269850000000e-05,3.188670000000e+00,3628
215,2.279850000000e-05,1.995120000000e-01,227
216,2.289850000000e-05,3.496290000000e+00,3978
217,2.299850000000e-05,1.300780000000e-01,148
218,2.309850000000e-05,3.322270000000e+00,3780
219,2.319850000000e-05,5.361330000000e-01,610
220,2.329850000000e-05,2.714940000000e+00,3089
221,2.339850000000e-05,1.301660000000e+00,1481
222,2.349850000000e-05,1.846580000000e+00,2101
223,2.359850000000e-05,2.208690000000e+00,2513
224,2.369850000000e-05,9.650390000000e-01,1098
225,2.379850000000e-05,2.999710000000e+00,3413
226,2.389850000000e-05,3.216800000000e-01,366
227,2.399850000000e-05,3.449710000000e+00,3925
228,2.409850000000e-05,9.931640000000e-02,113
229,2.419850000000e-05,3.429490000000e+00,3902
230,2.429850000000e-05,3.594730000000e-01,409
231,2.439850000000e-05,2.946090000000e+00,3352
232,2.449850000000e-05,1.030960000000e+00,1173
233,2.459850000000e-05,2.136620000000e+00,2431
234,2.469850000000e-05,1.920410000000e+00,2185
235,2.479850000000e-05,1.231350000000e+00,1401
236,2.489850000000e-05,2.776460000000e+00,3159
237,2.499850000000e-05,4.877930000000e-01,555
238,2.509850000000e-05,3.353910000000e+00,3816
239,2.519850000000e-05,1.177730000000e-01,134
240,2.529850000000e-05,3.489260000000e+00,3970
241,2.539850000000e-05,2.258790000000e-01,257
242,2.549850000000e-05,3.144730000000e+00,3578
243,2.559850000000e-05,7.822270000000e-01,890
244,2.569850000000e-05,2.416990000000e+00,2750
245,2.579850000000e-05,1.628610000000e+00,1853
246,2.589850000000e-05,1.513480000000e+00,1722
247,2.599850000000e-05,2.523340000000e+00,2871
248,2.609850000000e-05,6.916990000000e-01,787
249,2.619850000000e-05,3.212400000000e+00,3655
250,2.629850000000e-05,1.854490000000e-01,211
251,2.639850000000e-05,3.498930000000e+00,3981
252,2.649850000000e-05,1.388670000000e-01,158
253,2.659850000000e-05,3.302930000000e+00,3758
254,2.669850000000e-05,5.642580000000e-01,642
255,2.679850000000e-05,2.678910000000e+00,3048
