,,Parameter,,,,,,tt_0,tt_1,tt_2,ff_0,ff_1,ff_2,ss_0,ss_1,ss_2,sf_0,sf_1,sf_2,fs_0,fs_1,fs_2
,,rf018.scs,,,,,,tt_mim,tt_mim,tt_mim,ff_res,ff_res,ff_res,ss_res,ss_res,ss_res,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim
,,rf018.scs,,,,,,tt_res,tt_res,tt_res,ff_mim,ff_mim,ff_mim,ss_mim,ss_mim,ss_mim,tt_res,tt_res,tt_res,tt_res,tt_res,tt_res
,,rf018.scs,,,,,,tt,tt,tt,ff,ff,ff,ss,ss,ss,sf,sf,sf,fs,fs,fs
,,temperature,,,,,,-40,27,85,-40,27,85,-40,27,85,-40,27,85,-40,27,85

Point,Test,Output,Spec,Weight,Pass/Fail,Min,Max,tt_0,tt_1,tt_2,ff_0,ff_1,ff_2,ss_0,ss_1,ss_2,sf_0,sf_1,sf_2,fs_0,fs_1,fs_2
Parameters: td=24.05n,,,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I28/V1,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I28/V28/PLUS,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I28/net17,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I28/DN,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I28/DP,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I28/CLKB,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/P,,,,,,,,,,,,,,,,,,,,
1,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/N,,,,,,,,,,,,,,,,,,,,
Parameters: td=28n,,,,,,,,,,,,,,,,,,,,,,
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/CLK,,,,,,,,,,,,,,,,,,,,
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/COMN,,,,,,,,,,,,,,,,,,,,
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/COMP,,,,,,,,,,,,,,,,,,,,
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/RST1,,,,,,,,,,,,,,,,,,,,
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/VIN,,,,,,,,,,,,,,,,,,,,
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/RST,,,,,,,,,,,,,,,,,,,,
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/VIP,,,,,,,,,,,,,,,,,,,,
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,SWITCHESPOWER,,,,72.46e-6,89.25e-6,76.52e-6,79.44e-6,82e-6,82.57e-6,85.93e-6,89.25e-6,72.46e-6,75.01e-6,77.26e-6,76e-6,78.98e-6,81.81e-6,78.17e-6,81.4e-6,84.38e-6
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/CLK00,,,,,,,,,,,,,,,,,,,,
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/OUT,,,,,,,,,,,,,,,,,,,,
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/PRST,,,,,,,,,,,,,,,,,,,,
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I14/AVDD,,,,,,,,,,,,,,,,,,,,
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,COMPOWER,,,,140.2e-6,223.2e-6,172.3e-6,174.1e-6,174.1e-6,221.8e-6,223.2e-6,222.4e-6,140.2e-6,142.8e-6,143.6e-6,188.3e-6,188.2e-6,186.5e-6,163.2e-6,166.8e-6,168.3e-6
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,PREWOCM,,,,,,eval err,eval err,eval err,eval err,eval err,eval err,eval err,eval err,eval err,eval err,eval err,eval err,eval err,eval err,eval err
2,12bit_50M_SAR_test_12bit50MSAR_AMS_final_1,/I21/DVDD,,,,,,,,,,,,,,,,,,,,
