seed,valid,calibration_error,nominal_sndr,physical_sndr,calibrated_sndr,oracle_gap_db,cal_gain_db,nominal_enob,physical_enob,calibrated_enob,nominal_sndr_int12,physical_sndr_int12,calibrated_sndr_int12,nominal_enob_int12,physical_enob_int12,calibrated_enob_int12,nominal_sfdr_int12,nominal_sfdr,physical_sfdr,calibrated_sfdr,dnl_peak,dnl_rms,inl_peak,inl_rms,n_missing,n_non_monotonic,n_float_backsteps,worst_float_step_lsb,max_integer_jump,max_float_rollback_lsb,max_integer_rollback_lsb,float_nonmonotonic_input_fraction,integer_nonmonotonic_input_fraction,err_H1C,err_H2C,err_H4C,err_H8C-R,err_H8C-A,err_H16C,err_H32C,ratio_H1C,ratio_H2C,ratio_H4C,ratio_H8C-R,ratio_H8C-A,ratio_H16C,ratio_H32C
10053,True,,68.588,74.665,74.559,0.106,5.971,11.101,12.111,12.093,67.435,71.128,71.196,10.909,11.523,11.534,79.063,79.044,96.469,95.275,0.7684934539697295,0.3308327202885589,0.6924797878890162,0.28112305768288687,0,10,57,-0.7079476949131731,1,0.7079476949131731,1,0.0021385392271733097,0.0004213170000218029,0.1086,0.1885,0.2595,0.4844,0.6808,1.124,2.1418,0.000596,-0.000182,-0.00064,-0.000135,-4.8e-05,1.1e-05,-3.9e-05
10054,True,,64.685,74.675,74.572,0.103,9.887,10.453,12.112,12.095,64.202,71.319,71.255,10.372,11.555,11.544,69.063,69.015,95.534,95.963,0.7057649346058203,0.32929033941121266,0.762095542695772,0.3019582210221171,0,378,509,-0.841214300932279,1,0.841214300932279,1,0.0024213046072801537,0.0004642130099734869,0.3664,0.5548,1.0569,2.128,2.2091,4.2653,8.5239,-0.001592,-0.00027,0.000244,0.000142,-0.00025,-9.2e-05,3.1e-05
10055,True,,68.695,74.619,74.56,0.059,5.865,11.119,12.103,12.093,67.549,71.163,71.157,10.928,11.529,11.528,77.576,77.904,95.937,95.789,0.7014352717168464,0.33085551393488477,0.7870023197160942,0.3043621727196386,0,125,183,-0.8373982278621952,1,0.8373982278621952,1,0.0006491858677438218,0.0002162699998315903,0.1285,0.208,0.2247,0.3955,0.3632,0.7023,1.3568,0.001194,-0.000581,7e-05,1.7e-05,-4.2e-05,-6.6e-05,-0.000123
10056,True,,64.736,74.799,74.541,0.258,9.805,10.461,12.133,12.09,64.224,71.363,71.291,10.376,11.562,11.55,69.991,69.989,96.053,94.643,0.7142730780240518,0.32990829999275384,0.7067164690250326,0.27620281432772825,0,747,933,-0.8396202198605351,1,0.8396202198605351,1,0.0016097467327833605,0.0006496897175491843,0.2139,0.2357,0.6685,1.0659,1.1525,2.3239,4.3286,-0.001233,0.000829,-0.000544,-4e-06,-0.000198,6.8e-05,5.9e-05
10057,True,,65.322,74.71,74.385,0.325,9.063,10.559,12.118,12.064,64.755,71.392,71.14,10.464,11.567,11.525,72.445,72.292,96.399,93.313,0.8521825166129167,0.33059023395811826,0.7720687953308683,0.28200257201813644,0,10,24,-0.3432105220099402,1,0.3432105220099402,1,0.001486090258094595,0.0006517333280298947,0.3652,0.1343,0.3383,0.7462,0.8021,1.4757,3.2323,0.004,-0.000828,-0.000188,-0.000194,3.9e-05,-7e-05,-8e-05
10058,True,,62.586,74.87,74.637,0.233,12.051,10.104,12.145,12.106,62.249,71.448,71.276,10.048,11.576,11.547,67.819,67.876,95.722,88.841,0.6990286206274641,0.33210707116911276,0.6661786031168525,0.26965836881323463,0,124,186,-0.835291113279709,1,0.835291113279709,1,0.0019392459153319374,0.0002884880170563911,0.2274,0.4713,0.7533,1.7255,1.877,3.5491,6.8467,2.8e-05,-0.000197,-0.000537,-0.000386,0.000294,0.000108,-1.7e-05
10059,True,,64.278,74.677,74.471,0.206,10.193,10.385,12.112,12.078,63.898,71.355,71.205,10.322,11.561,11.536,70.394,70.407,96.324,91.478,0.7970371207935611,0.33182743002250614,0.7559798043355781,0.3160430221517907,0,12,71,-0.7742780895850956,1,0.7742780895850956,1,0.0026283450678749798,0.0003602165684411726,0.1458,0.31,0.584,1.1205,1.0659,1.9723,4.2099,0.000369,-7.9e-05,0.000361,0.000122,-0.000234,2.2e-05,2.8e-05
10060,True,,64.859,74.618,74.656,-0.038,9.797,10.482,12.103,12.109,64.37,71.275,71.224,10.4,11.547,11.539,69.926,69.833,95.884,95.99,0.7243172319333075,0.33237132132525965,0.7264443033240848,0.28437557636479766,0,500,646,-0.8397722252420863,1,0.8397722252420863,1,0.0020368005182369972,0.0005702996870673292,0.2059,0.3959,0.7031,1.2685,1.2017,2.3311,4.6795,0.000485,-0.000836,0.000151,-0.000238,0.000155,-1e-06,-5.3e-05
10061,True,,66.079,74.591,74.521,0.07,8.442,10.684,12.098,12.087,65.418,71.149,71.141,10.574,11.526,11.525,72.101,72.02,97.207,96.035,0.7750398941061526,0.33015345350666686,0.7961020334445778,0.3019303109863186,0,125,154,-0.8375173114636709,1,0.8375173114636709,1,0.0009088729836437173,0.0006043930425148392,0.0836,0.0655,0.2159,0.2752,0.341,0.5502,1.1929,0.000738,-0.000389,-0.000338,-0.000167,0.00013,-0.000128,-6.6e-05
10062,True,,67.49,74.604,74.05,0.554,6.56,10.919,12.1,12.008,66.609,71.122,70.916,10.772,11.522,11.488,74.038,73.875,96.267,92.351,0.7374217341832905,0.330134866686511,0.9388202269092559,0.3477065369785913,0,9,51,-0.28198019484898396,1,0.28198019484898396,1,0.0018131293043758302,0.0002959557143524215,0.1725,0.2239,0.4575,1.1049,0.8737,1.7582,3.6623,-0.000763,0.000263,0.000104,-0.000253,0.00018,0.000335,0.000102
10063,True,,64.818,74.672,74.757,-0.085,9.939,10.475,12.112,12.126,64.252,71.245,71.252,10.381,11.542,11.543,69.372,69.42,94.36,94.372,0.7618568558668373,0.32846497012493087,0.8278139967850392,0.34449543116072323,0,510,619,-0.8411849383992376,1,0.8411849383992376,1,0.0015479318968881408,0.0009206739130449992,0.3091,0.6496,1.1057,2.0955,2.0556,4.3039,8.3365,0.002151,-0.000955,-0.000222,4.3e-05,0.000327,0.000199,6.6e-05
