index,time_s,out_v,code
40,5.298500000000e-06,2.100590000000e+00,2390
41,5.398500000000e-06,1.915140000000e+00,2179
42,5.498500000000e-06,1.276170000000e+00,1452
43,5.598500000000e-06,2.701760000000e+00,3074
44,5.698510000000e-06,5.748050000000e-01,654
45,5.798500000000e-06,3.275680000000e+00,3727
46,5.898500000000e-06,1.625980000000e-01,185
47,5.998500000000e-06,3.500680000000e+00,3983
48,6.098500000000e-06,1.379880000000e-01,157
49,6.198500000000e-06,3.324020000000e+00,3782
50,6.298500000000e-06,5.044920000000e-01,574
51,6.398500000000e-06,2.787890000000e+00,3172
52,6.498500000000e-06,1.178610000000e+00,1341
53,6.598500000000e-06,2.017970000000e+00,2296
54,6.698500000000e-06,1.998630000000e+00,2274
55,6.798500000000e-06,1.197070000000e+00,1362
56,6.898500000000e-06,2.771190000000e+00,3153
57,6.998500000000e-06,5.176760000000e-01,589
58,7.098500000000e-06,3.315230000000e+00,3772
59,7.198500000000e-06,1.423830000000e-01,162
60,7.298510000000e-06,3.501560000000e+00,3984
61,7.398500000000e-06,1.573240000000e-01,179
62,7.498500000000e-06,3.285350000000e+00,3738
63,7.598500000000e-06,5.607420000000e-01,638
64,7.698500000000e-06,2.719340000000e+00,3094
65,7.798510000000e-06,1.256840000000e+00,1430
66,7.898500000000e-06,1.935350000000e+00,2202
67,7.998510000000e-06,2.081250000000e+00,2368
68,8.098500000000e-06,1.119730000000e+00,1274
69,8.198500000000e-06,2.838870000000e+00,3230
70,8.298510000000e-06,4.649410000000e-01,529
71,8.398500000000e-06,3.351270000000e+00,3813
72,8.498510000000e-06,1.256840000000e-01,143
73,8.598500000000e-06,3.497170000000e+00,3979
74,8.698510000000e-06,1.810550000000e-01,206
75,8.798500000000e-06,3.243160000000e+00,3690
76,8.898500000000e-06,6.196290000000e-01,705
77,8.998500000000e-06,2.647270000000e+00,3012
78,9.098500000000e-06,1.336820000000e+00,1521
79,9.198500000000e-06,1.851860000000e+00,2107
80,9.298500000000e-06,2.162990000000e+00,2461
81,9.398510000000e-06,1.044140000000e+00,1188
82,9.498500000000e-06,2.903910000000e+00,3304
83,9.598510000000e-06,4.148440000000e-01,472
84,9.698500000000e-06,3.383790000000e+00,3850
85,9.798500000000e-06,1.125000000000e-01,128
86,9.898500000000e-06,3.490140000000e+00,3971
87,9.998500000000e-06,2.091800000000e-01,238
88,1.009850000000e-05,3.196580000000e+00,3637
89,1.019850000000e-05,6.811520000000e-01,775
90,1.029850000000e-05,2.574320000000e+00,2929
91,1.039850000000e-05,1.417680000000e+00,1613
92,1.049850000000e-05,1.768360000000e+00,2012
93,1.059850000000e-05,2.243850000000e+00,2553
94,1.069850000000e-05,9.703130000000e-01,1104
95,1.079850000000e-05,2.966310000000e+00,3375
96,1.089850000000e-05,3.682620000000e-01,419
97,1.099850000000e-05,3.412790000000e+00,3883
98,1.109850000000e-05,1.037110000000e-01,118
99,1.119850000000e-05,3.477830000000e+00,3957
100,1.129850000000e-05,2.399410000000e-01,273
101,1.139850000000e-05,3.147360000000e+00,3581
102,1.149850000000e-05,7.453130000000e-01,848
103,1.159850000000e-05,2.498730000000e+00,2843
104,1.169850000000e-05,1.499410000000e+00,1706
105,1.179850000000e-05,1.684860000000e+00,1917
106,1.189850000000e-05,2.323830000000e+00,2644
107,1.199850000000e-05,8.982420000000e-01,1022
108,1.209850000000e-05,3.025200000000e+00,3442
109,1.219850000000e-05,3.243160000000e-01,369
110,1.229850000000e-05,3.437400000000e+00,3911
111,1.239850000000e-05,9.931640000000e-02,113
112,1.249850000000e-05,3.462010000000e+00,3939
113,1.259850000000e-05,2.759770000000e-01,314
114,1.269850000000e-05,3.095510000000e+00,3522
115,1.279850000000e-05,8.121090000000e-01,924
116,1.289850000000e-05,2.421390000000e+00,2755
117,1.299850000000e-05,1.582030000000e+00,1800
118,1.309850000000e-05,1.601370000000e+00,1822
119,1.319850000000e-05,2.402930000000e+00,2734
120,1.329850000000e-05,8.279300000000e-01,942
121,1.339850000000e-05,3.081450000000e+00,3506
122,1.349850000000e-05,2.847660000000e-01,324
123,1.359850000000e-05,3.457620000000e+00,3934
124,1.369850000000e-05,9.843750000000e-02,112
125,1.379850000000e-05,3.442680000000e+00,3917
126,1.389850000000e-05,3.146480000000e-01,358
127,1.399850000000e-05,3.039260000000e+00,3458
