seed,valid,calibration_error,nominal_sndr,physical_sndr,calibrated_sndr,oracle_gap_db,cal_gain_db,nominal_enob,physical_enob,calibrated_enob,nominal_sndr_int12,physical_sndr_int12,calibrated_sndr_int12,nominal_enob_int12,physical_enob_int12,calibrated_enob_int12,nominal_sfdr_int12,nominal_sfdr,physical_sfdr,calibrated_sfdr,dnl_peak,dnl_rms,inl_peak,inl_rms,n_missing,n_non_monotonic,n_float_backsteps,worst_float_step_lsb,max_integer_jump,max_float_rollback_lsb,max_integer_rollback_lsb,float_nonmonotonic_input_fraction,integer_nonmonotonic_input_fraction,err_H1C,err_H2C,err_H4C,err_H8C-R,err_H8C-A,err_H16C,err_H32C,ratio_H1C,ratio_H2C,ratio_H4C,ratio_H8C-R,ratio_H8C-A,ratio_H16C,ratio_H32C
10075,True,,73.639,74.709,73.618,1.091,-0.021,11.94,12.118,11.936,70.74,71.288,70.498,11.459,11.55,11.418,88.328,89.113,96.698,89.233,0.7816885327506422,0.3334503107233417,0.9351364488974651,0.32524932249647026,0,664,800,-0.8379373848988507,1,0.8379373848988507,1,0.0007056478025964103,0.0005898800701239668,0.3705,0.3784,0.3509,0.4838,0.5984,0.488,0.0721,0.002919,0.000542,-0.001337,0.000699,0.000913,0.000251,-0.000171
10076,True,,67.82,74.678,73.775,0.903,5.955,10.973,12.113,11.963,66.898,71.079,70.669,10.82,11.515,11.447,76.41,76.413,95.804,87.224,0.6838426853085782,0.3325392373912109,0.804186049369764,0.29175581990220945,0,0,3,-0.4180064308679903,1,0.4180064308679903,0,5.1304799498016614e-05,0.0,0.2486,0.4546,1.2068,1.6353,1.302,2.833,4.9302,-0.00277,0.001022,0.002353,-0.000623,0.000279,7.2e-05,0.000134
10077,True,,72.477,74.621,73.604,1.017,1.127,11.747,12.103,11.934,70.049,71.205,70.618,11.344,11.536,11.438,82.832,83.278,96.079,89.193,0.7723486766773431,0.3292551761536252,0.9297317067172108,0.3204323349382428,0,129,144,-0.8406897967565783,1,0.8406897967565783,1,0.0007004098366648162,0.0006274504786791924,0.2291,0.7307,0.8764,2.5192,1.7808,3.5506,7.0854,0.000275,-4.1e-05,0.000213,-0.001231,0.000503,0.000165,0.000325
10078,True,,65.898,74.774,72.026,2.748,6.128,10.654,12.129,11.672,65.311,71.316,69.862,10.557,11.554,11.313,73.267,73.175,95.951,79.969,0.821020246576402,0.3317984864003669,1.3068966404669033,0.45917849352197887,0,670,802,-0.8369526339993172,1,0.8369526339993172,1,0.0016219950152100648,0.001343598278697102,0.1573,0.6231,0.2452,1.1106,0.7263,1.3481,3.0604,-0.003464,0.003543,-0.00083,-0.000409,-0.00167,0.00013,0.000303
10079,True,,64.226,74.725,73.515,1.21,9.289,10.376,12.121,11.919,63.733,71.429,70.589,10.295,11.573,11.433,71.088,71.055,95.674,89.87,0.8634867528394776,0.3339423473310941,0.8987244495751516,0.31432586389174005,0,491,586,-0.836055532870887,1,0.836055532870887,1,0.00012127224125091027,7.96263190237078e-05,0.4045,0.4923,0.7796,1.4256,1.8111,2.7486,5.1132,-1.4e-05,0.000599,-0.00093,-0.000223,0.000911,0.000115,-0.000331
10080,True,,63.928,74.63,72.522,2.108,8.594,10.327,12.105,11.754,63.467,71.205,70.207,10.25,11.536,11.37,71.048,71.036,96.036,83.942,,,,,1,243,292,-0.8372520956863809,1,0.8372520956863809,1,8.16442718386735e-05,6.794369197524349e-05,0.4355,0.2577,0.859,0.7676,0.8663,0.8706,2.5388,-0.006762,0.000509,-0.001531,-0.000428,0.00115,3.8e-05,0.000334
10081,True,,63.614,74.682,73.877,0.805,10.263,10.275,12.113,11.98,63.214,71.22,70.851,10.208,11.538,11.477,72.32,72.284,97.292,89.691,0.9865518990094038,0.32981716182707466,0.8104134532945643,0.29847722243194025,0,0,0,0.0,1,0.0,0,0.0,0.0,0.4539,0.6771,1.1676,2.1964,2.2559,3.9599,8.3476,-0.002955,0.001035,-0.000555,-0.000313,-0.000416,8.9e-05,0.000172
10082,True,,63.405,74.703,74.056,0.647,10.651,10.24,12.117,12.009,63.019,71.153,70.877,10.176,11.527,11.481,70.543,70.584,95.786,90.633,0.8231376334984379,0.32953596041294264,0.8187077636349445,0.31082035039295514,0,63,73,-0.8407761010166723,1,0.8407761010166723,1,0.0003410797434233206,0.00029619939645312784,0.3204,0.6615,0.9799,2.5346,1.9575,3.8631,7.1893,0.002731,-0.001374,-7.7e-05,-0.001166,-7.2e-05,-2.1e-05,0.000229
10083,True,,63.28,74.699,71.284,3.415,8.004,10.219,12.116,11.549,62.898,71.279,69.255,10.156,11.548,11.212,70.058,70.177,95.65,81.968,1.1589606041825662,0.33319994342492404,1.3023207795952199,0.4736412577534687,0,853,1013,-0.8384520884524136,1,0.8384520884524136,1,0.0005571104357102749,0.00037803908325192395,0.0578,0.6143,0.4505,1.4186,0.8187,1.1845,0.9452,0.001581,-0.00385,-0.000957,-0.001937,0.001603,0.000288,0.000276
10084,True,,65.158,74.548,71.759,2.789,6.601,10.531,12.091,11.628,64.591,71.184,69.51,10.437,11.532,11.254,72.709,72.83,95.401,82.836,1.0477570167327186,0.33517993832528764,1.1408649061426073,0.37679116918858024,0,64,92,-0.836909871244643,1,0.836909871244643,1,0.0005205316113117251,0.00031951496845683417,0.5045,0.3878,0.488,0.7461,1.0266,1.656,2.9814,0.004611,-0.003661,0.000291,0.000164,-0.000526,0.000319,0.000163
10085,True,,68.813,74.75,73.701,1.049,4.888,11.138,12.125,11.95,67.601,71.236,70.666,10.937,11.541,11.446,76.494,76.814,96.997,87.551,0.8342757873647457,0.3317202225529801,1.0461465682735596,0.38041444044659745,0,185,236,-0.8381517678967612,1,0.8381517678967612,1,0.001749579729801741,0.0010675062981732697,0.0989,0.1602,0.2141,0.4735,0.3688,0.6857,0.8094,0.000653,0.001393,0.000144,0.00109,-0.000287,-0.000435,-6.7e-05
10086,True,,68.312,74.473,71.756,2.717,3.444,11.055,12.079,11.627,67.244,71.138,69.692,10.878,11.525,11.284,76.773,76.924,95.825,81.17,0.9394492901534901,0.33370685876371237,1.3305002628961904,0.44473091748810034,0,309,373,-0.8389674247082439,1,0.8389674247082439,1,0.0014999488126288957,0.0011242516127215167,0.2845,0.2154,0.3629,0.4359,0.969,1.4645,3.3126,-0.000637,0.001143,0.001187,0.000689,-0.000586,0.000177,-9.7e-05
10087,True,,67.944,74.634,73.178,1.456,5.234,10.994,12.105,11.864,66.978,71.212,70.412,10.834,11.537,11.404,72.484,72.464,94.275,84.371,0.8443176215792383,0.33149616426809964,0.9847758673994627,0.34153917585715166,0,743,878,-0.8379373848988507,1,0.8379373848988507,1,0.00044533907040887675,0.0003690224378017191,0.2619,0.247,0.6658,0.4093,0.2681,0.3214,0.5736,0.002515,0.001469,-0.002376,-0.000661,-0.00023,-2.5e-05,0.00037
10088,True,,61.761,74.74,73.895,0.845,12.134,9.967,12.123,11.982,61.496,71.264,70.863,9.923,11.545,11.479,68.176,68.287,96.387,88.273,0.8698432048823539,0.33329432437219364,0.9490500582577652,0.3387877462959482,0,488,586,-0.8354585331021553,1,0.8354585331021553,1,0.0010962639403986594,0.000892818289025386,0.5806,0.5046,1.1474,1.8271,1.759,3.5883,6.8711,-0.002306,0.000579,0.001109,0.000236,-0.000738,0.000181,3.1e-05
10089,True,,71.479,74.525,72.745,1.78,1.266,11.581,12.087,11.792,69.526,71.227,70.32,11.257,11.539,11.389,81.698,82.033,95.662,82.557,1.1104252227365565,0.33361624722324457,1.012212758924798,0.342264749894957,0,754,892,-0.8390103979922969,1,0.8390103979922969,1,0.0009331353408994166,0.0006653596857843279,0.0492,0.204,0.7684,0.7965,0.5588,1.2859,3.0228,0.000857,-0.000242,-0.001593,-0.000207,0.000238,0.000763,-0.000133
10090,True,,60.166,74.83,71.541,3.289,11.375,9.702,12.138,11.592,59.972,71.294,69.521,9.67,11.55,11.256,65.419,65.415,96.889,79.245,0.9185240362641405,0.3326676746567063,1.0710456419076082,0.3754840385512179,0,126,147,-0.8376802700217922,1,0.8376802700217922,1,4.0639738443891675e-05,3.8569495265199365e-05,0.3645,0.5281,0.452,1.014,0.4571,0.7894,0.3564,0.005367,0.000624,0.001444,-0.000137,-0.000954,0.000454,-0.000128
10091,True,,70.422,74.7,72.653,2.047,2.231,11.406,12.116,11.776,68.762,71.329,70.243,11.13,11.556,11.376,81.97,82.021,95.673,85.651,1.0509259836008762,0.3345913375387158,0.8599216006983285,0.3118250480665109,0,65,80,-0.8352029369775664,1,0.8352029369775664,1,0.0001425897512503777,9.963081012265155e-05,0.476,0.475,1.2982,2.3482,2.5616,3.3447,6.9389,0.003665,7.9e-05,0.001367,-0.000169,0.001288,-0.000357,-0.00043
10092,True,,70.585,74.454,73.302,1.152,2.717,11.433,12.075,11.884,68.955,71.212,70.608,11.162,11.537,11.437,79.071,79.117,96.124,86.641,1.055007790184065,0.3318521869568968,1.0643968179199537,0.3672087309406837,0,488,584,-0.8376802700217922,1,0.8376802700217922,1,1.4346466966571572e-05,1.1988143629793166e-05,0.2237,0.4725,0.4729,0.6651,0.2622,0.8785,0.617,-0.003634,0.003231,0.00146,0.000935,-0.000796,-0.000506,-0.000114
10093,True,,72.098,74.62,73.33,1.29,1.232,11.684,12.103,11.889,69.846,71.308,70.558,11.31,11.553,11.428,79.334,79.32,96.329,87.643,0.6901559419577064,0.33244005655324543,0.9067796082750396,0.31895945564376055,0,124,151,-0.8371665133395254,1,0.8371665133395254,1,0.00017625991987491133,0.00010978436142191836,0.2293,0.2873,0.3438,0.9909,0.7222,1.3142,2.0946,0.002306,0.001022,0.000164,0.000716,0.000221,9.9e-05,-0.000147
10094,True,,68.896,74.539,70.627,3.912,1.731,11.152,12.09,11.44,67.533,71.267,68.781,10.926,11.546,11.133,79.806,79.887,96.271,79.663,1.3809693987828027,0.3336623809070167,1.4884578444884544,0.4900844431421661,0,179,215,-0.8401723430447419,1,0.8401723430447419,1,0.0005880096359330253,0.0004927473011792489,0.2461,0.8797,1.6913,1.6219,1.4507,2.8059,5.6909,-0.000979,-0.003437,-0.000648,-0.00052,-0.000201,-6.9e-05,0.000288
10095,True,,70.823,74.785,74.304,0.481,3.481,11.472,12.13,12.05,69.162,71.323,71.052,11.196,11.555,11.51,77.543,77.36,94.067,91.254,0.8396970918590201,0.331711064831528,0.8092406741956011,0.3005847222323487,0,0,1,-0.41892583120170457,1,0.41892583120170457,0,2.4873985011232048e-05,0.0,0.2217,0.23,0.1469,0.1691,0.6151,0.3514,0.3641,0.003012,0.001068,0.000242,-0.000623,0.00084,2.1e-05,-0.000137
10096,True,,66.523,74.67,73.363,1.307,6.84,10.758,12.111,11.894,65.825,71.265,70.589,10.642,11.546,11.433,71.315,71.29,94.085,85.667,1.0397715427450174,0.32842686429869977,0.8580953051073219,0.32638627394413633,0,76,109,-0.8435472242249489,1,0.8435472242249489,1,0.0007921618034797636,0.00035774405055147025,0.8234,1.2387,1.9489,3.6057,4.1348,7.0992,14.6595,-0.005609,-0.002528,-0.000476,1.9e-05,-0.000968,0.00025,0.000109
10097,True,,73.271,74.783,71.401,3.382,-1.87,11.879,12.13,11.568,70.528,71.375,69.308,11.423,11.564,11.221,86.945,86.466,95.308,84.58,0.8332013621096943,0.33240139559422516,1.1273161294318106,0.4015866538938708,0,127,164,-0.837594600122884,1,0.837594600122884,1,0.0004972228640732349,0.0003106033522768687,0.6,0.6086,0.5014,0.5805,0.8803,1.7316,0.7505,0.006691,-0.005267,5.8e-05,-0.001491,0.000925,0.000895,-0.000366
10098,True,,68.593,74.592,73.636,0.956,5.043,11.102,12.098,11.94,67.413,71.207,70.735,10.906,11.536,11.458,77.629,77.53,96.428,88.977,0.9557097935692982,0.33228265980151317,0.9317752337770653,0.316734664221749,0,244,296,-0.8376802700217922,1,0.8376802700217922,1,0.00047767996851533765,0.0003264491584216224,0.3037,0.2905,0.2506,0.3741,0.2303,1.064,0.939,0.004246,-0.00043,0.000625,0.00039,0.000122,-0.000848,0.000131
10099,True,,62.191,74.623,73.713,0.91,11.522,10.038,12.103,11.952,61.968,71.221,70.693,10.001,11.538,11.451,66.818,66.691,96.187,86.733,0.6941996363964116,0.3324718815659067,0.8783403614029301,0.3313926543138768,0,496,592,-0.836055532870887,1,0.836055532870887,1,0.000602767047027475,0.00046825857173820077,0.321,1.0152,0.9124,1.3445,1.1231,2.541,5.1718,-0.002245,0.005002,0.000882,-0.000411,-0.0004,-0.000134,-9.6e-05
