
time (s)       v("P" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/switch_cdac_map/psf" ?result "tran") (V)
 1.81016e-07    8.43424e-01   
 1.81016e-07    8.54754e-01   
 1.81016e-07    8.64815e-01   
 1.81017e-07    8.73482e-01   
 1.81017e-07    8.80792e-01   
 1.81017e-07    8.86831e-01   
 1.81018e-07    8.91706e-01   
 1.81018e-07    8.95461e-01   
 1.81019e-07    8.97730e-01   
 1.81020e-07    8.98862e-01   
 1.81022e-07    8.99512e-01   
 1.81024e-07    9.00000e-01   
 1.81027e-07    9.00000e-01   
 1.81032e-07    9.00000e-01   
 1.81040e-07    9.00000e-01   
 1.81056e-07    9.00000e-01   
 1.81088e-07    9.00000e-01   
 1.81152e-07    9.00000e-01   
 1.81280e-07    9.00000e-01   
 1.81536e-07    9.00000e-01   
 1.82048e-07    9.00000e-01   
 1.83048e-07    9.00000e-01   
 1.84048e-07    9.00000e-01   
 1.85048e-07    9.00000e-01   
 1.86048e-07    9.00000e-01   
 1.87048e-07    9.00000e-01   
 1.88048e-07    9.00000e-01   
 1.89048e-07    9.00000e-01   
 1.90048e-07    9.00000e-01   
 1.91048e-07    9.00000e-01   
 1.92048e-07    9.00000e-01   
 1.93048e-07    9.00000e-01   
 1.94048e-07    9.00000e-01   
 1.95048e-07    9.00000e-01   
 1.96048e-07    9.00000e-01   
 1.97048e-07    9.00000e-01   
 1.98048e-07    9.00000e-01   
 1.99048e-07    9.00000e-01   
 2.00048e-07    9.00000e-01   
 2.01000e-07    9.00000e-01   
 2.01003e-07    9.00000e-01   
 2.01005e-07    9.01383e-01   
 2.01005e-07    9.80602e-01   
 2.01006e-07    9.56704e-01   
 2.01006e-07    9.43884e-01   
 2.01006e-07    9.38126e-01   
 2.01006e-07    9.32604e-01   
 2.01006e-07    9.28485e-01   
 2.01006e-07    9.24000e-01   
 2.01006e-07    9.20272e-01   
 2.01006e-07    9.16354e-01   
 2.01007e-07    9.12567e-01   
 2.01007e-07    9.09293e-01   
 2.01007e-07    9.06054e-01   
 2.01008e-07    9.03401e-01   
 2.01009e-07    9.01418e-01   
 2.01010e-07    9.00434e-01   
 2.01012e-07    9.00183e-01   
