sample,tone_bin,method,physical_hash,evaluation_seed,sndr_db,enob,sfdr_db,thd_db,time_domain_sndr_db,fft_time_sndr_delta_db,clip_count,pass_enob_strict
0,3641,fractional_cancel_cal128_12b,C17CBFC7FED9642C99050A69697A1A438930E66ADAD5162269DB0440D282DF74,2026425379,71.93659514595598,11.657241718597339,97.53539837980134,-97.59739474992087,71.93659513911784,6.838135391262767e-09,0,1
1,127,current_nominal_12b,D11B119942CA650C2A399F1B8D2D331D3FDA10069F8E3175DA9A669928666CEA,2027084524,56.11134757176596,9.028463051788366,60.62210188435732,-58.07069649373424,56.111347571625465,1.404956151418446e-10,0,0
1,127,current_cal32_12b,D11B119942CA650C2A399F1B8D2D331D3FDA10069F8E3175DA9A669928666CEA,2027084524,69.07031611375191,11.181115633513606,82.81625515335722,-77.71276550008861,69.07031611144552,2.306393298567855e-09,0,0
1,127,current_cal128_12b,D11B119942CA650C2A399F1B8D2D331D3FDA10069F8E3175DA9A669928666CEA,2027084524,69.13846617191174,11.192436241181353,85.02659586920858,-79.1041747376317,69.1384661751144,-3.20265769460093e-09,0,0
1,127,current_cal128_q2,D11B119942CA650C2A399F1B8D2D331D3FDA10069F8E3175DA9A669928666CEA,2027084524,71.54356762693115,11.591954755304178,92.65830900578285,-87.43802541632357,71.54356762769082,-7.596696605105535e-10,0,1
1,127,sublsb3_nominal_12b,D11B119942CA650C2A399F1B8D2D331D3FDA10069F8E3175DA9A669928666CEA,2027084524,56.0999857375929,9.026575703919088,60.62710882989699,-58.07127510926111,56.099985737781104,-1.8820145442077774e-10,0,0
1,127,sublsb3_cal128_12b,D11B119942CA650C2A399F1B8D2D331D3FDA10069F8E3175DA9A669928666CEA,2027084524,71.86365571891798,11.645125534703984,94.8381582776929,-91.15206222608424,71.8636557325463,-1.3628323358716443e-08,0,1
1,127,fractional_cancel_cal128_12b,D11B119942CA650C2A399F1B8D2D331D3FDA10069F8E3175DA9A669928666CEA,2027084524,71.91911074633512,11.65433733327826,95.43981899387387,-91.03132466241853,71.91911073874941,7.585711614410684e-09,0,1
1,3641,current_nominal_12b,D11B119942CA650C2A399F1B8D2D331D3FDA10069F8E3175DA9A669928666CEA,2027425382,56.14537866150526,9.03411605672845,60.65796860400634,-58.11797047730437,56.145378661517505,-1.2242651337146526e-11,0,0
1,3641,current_cal32_12b,D11B119942CA650C2A399F1B8D2D331D3FDA10069F8E3175DA9A669928666CEA,2027425382,69.11877200737104,11.18916478527758,82.27023162129092,-77.62705282715439,69.11877201834852,-1.0977487363561522e-08,0,0
1,3641,current_cal128_12b,D11B119942CA650C2A399F1B8D2D331D3FDA10069F8E3175DA9A669928666CEA,2027425382,69.15428449696196,11.195063869927237,84.39169814211324,-78.99365734992439,69.15428450575854,-8.796575912128901e-09,0,0
1,3641,current_cal128_q2,D11B119942CA650C2A399F1B8D2D331D3FDA10069F8E3175DA9A669928666CEA,2027425382,71.62095530966198,11.604809852103319,94.0568256422663,-87.09663888025658,71.62095529725694,1.240503877397714e-08,0,1
1,3641,sublsb3_nominal_12b,D11B119942CA650C2A399F1B8D2D331D3FDA10069F8E3175DA9A669928666CEA,2027425382,56.12003105212668,9.029905490386492,60.641695334701275,-58.07049412639188,56.12003105203791,8.876810397850932e-11,0,0
