index,time_s,out_v,code
58,7.098500000000e-06,3.310840000000e+00,3767
59,7.198500000000e-06,1.467770000000e-01,167
60,7.298510000000e-06,3.495410000000e+00,3977
61,7.398500000000e-06,1.617190000000e-01,184
62,7.498500000000e-06,3.280960000000e+00,3733
63,7.598500000000e-06,5.642580000000e-01,642
64,7.698500000000e-06,2.715820000000e+00,3090
65,7.798510000000e-06,1.257710000000e+00,1431
66,7.898500000000e-06,1.935350000000e+00,2202
67,7.998510000000e-06,2.079490000000e+00,2366
68,8.098500000000e-06,1.121480000000e+00,1276
69,8.198500000000e-06,2.835350000000e+00,3226
70,8.298510000000e-06,4.684570000000e-01,533
71,8.398500000000e-06,3.346880000000e+00,3808
72,8.498510000000e-06,1.300780000000e-01,148
73,8.598500000000e-06,3.491890000000e+00,3973
74,8.698510000000e-06,1.854490000000e-01,211
75,8.798500000000e-06,3.237890000000e+00,3684
76,8.898500000000e-06,6.231450000000e-01,709
77,8.998500000000e-06,2.644630000000e+00,3009
78,9.098500000000e-06,1.337700000000e+00,1522
79,9.198500000000e-06,1.850980000000e+00,2106
80,9.298500000000e-06,2.161230000000e+00,2459
81,9.398510000000e-06,1.046780000000e+00,1191
82,9.498500000000e-06,2.900390000000e+00,3300
83,9.598510000000e-06,4.183590000000e-01,476
84,9.698500000000e-06,3.378520000000e+00,3844
85,9.798500000000e-06,1.168950000000e-01,133
86,9.898500000000e-06,3.483980000000e+00,3964
87,9.998500000000e-06,2.135740000000e-01,243
88,1.009850000000e-05,3.192190000000e+00,3632
89,1.019850000000e-05,6.837890000000e-01,778
90,1.029850000000e-05,2.570800000000e+00,2925
91,1.039850000000e-05,1.418550000000e+00,1614
92,1.049850000000e-05,1.768360000000e+00,2012
93,1.059850000000e-05,2.242090000000e+00,2551
94,1.069850000000e-05,9.720700000000e-01,1106
95,1.079850000000e-05,2.961040000000e+00,3369
96,1.089850000000e-05,3.717770000000e-01,423
97,1.099850000000e-05,3.406640000000e+00,3876
98,1.109850000000e-05,1.089840000000e-01,124
99,1.119850000000e-05,3.472560000000e+00,3951
100,1.129850000000e-05,2.443360000000e-01,278
101,1.139850000000e-05,3.143850000000e+00,3577
102,1.149850000000e-05,7.479490000000e-01,851
103,1.159850000000e-05,2.495210000000e+00,2839
104,1.169850000000e-05,1.499410000000e+00,1706
105,1.179850000000e-05,1.683980000000e+00,1916
106,1.189850000000e-05,2.322070000000e+00,2642
107,1.199850000000e-05,9.000000000000e-01,1024
108,1.209850000000e-05,3.020800000000e+00,3437
109,1.219850000000e-05,3.278320000000e-01,373
110,1.229850000000e-05,3.431250000000e+00,3904
111,1.239850000000e-05,1.037110000000e-01,118
112,1.249850000000e-05,3.456740000000e+00,3933
113,1.259850000000e-05,2.794920000000e-01,318
114,1.269850000000e-05,3.091110000000e+00,3517
115,1.279850000000e-05,8.147460000000e-01,927
116,1.289850000000e-05,2.419630000000e+00,2753
117,1.299850000000e-05,1.581150000000e+00,1799
118,1.309850000000e-05,1.601370000000e+00,1822
119,1.319850000000e-05,2.401170000000e+00,2732
120,1.329850000000e-05,8.305660000000e-01,945
121,1.339850000000e-05,3.077930000000e+00,3502
122,1.349850000000e-05,2.882810000000e-01,328
123,1.359850000000e-05,3.452340000000e+00,3928
124,1.369850000000e-05,1.037110000000e-01,118
125,1.379850000000e-05,3.437400000000e+00,3911
126,1.389850000000e-05,3.181640000000e-01,362
127,1.399850000000e-05,3.034860000000e+00,3453
